"id","name","created_date","context_length","pricing_prompt","pricing_completion","response_time_seconds","tokens_used","performance_rank","description"
"ai21/jamba-mini-1.7","AI21: Jamba Mini 1.7","2025-08-09","256000","0.0000002","0.0000004","Jamba Mini 1.7 is a compact and efficient member of the Jamba open model family, incorporating key improvements in grounding and instruction-following while maintaining the benefits of the SSM-Transfo..."
"aion-labs/aion-1.0-mini","AionLabs: Aion-1.0-Mini","2025-02-05","131072","0.0000007","0.0000014","Aion-1.0-Mini 32B parameter model is a distilled version of the DeepSeek-R1 model, designed for strong performance in reasoning domains such as mathematics, coding, and logic. It is a modified variant..."
"alibaba/tongyi-deepresearch-30b-a3b","Tongyi DeepResearch 30B A3B","2025-09-19","131072","0.00000009","0.0000004","Tongyi DeepResearch is an agentic large language model developed by Tongyi Lab, with 30 billion total parameters activating only 3 billion per token. It's optimized for long-horizon, deep information-..."
"alibaba/tongyi-deepresearch-30b-a3b:free","Tongyi DeepResearch 30B A3B (free)","2025-09-19","131072","0","0","Tongyi DeepResearch is an agentic large language model developed by Tongyi Lab, with 30 billion total parameters activating only 3 billion per token. It's optimized for long-horizon, deep information-..."
"arcee-ai/maestro-reasoning","Arcee AI: Maestro Reasoning","2025-05-06","131072","0.0000009","0.0000033","Maestro Reasoning is Arcee's flagship analysis model: a 32 B‑parameter derivative of Qwen 2.5‑32 B tuned with DPO and chain‑of‑thought RL for step‑by‑step logic. Compared to the earlier 7 B preview, t..."
"arcee-ai/virtuoso-large","Arcee AI: Virtuoso Large","2025-05-06","131072","0.00000075","0.0000012","Virtuoso‑Large is Arcee's top‑tier general‑purpose LLM at 72 B parameters, tuned to tackle cross‑domain reasoning, creative writing and enterprise QA. Unlike many 70 B peers, it retains the 128 k cont..."
"baidu/ernie-4.5-21b-a3b","Baidu: ERNIE 4.5 21B A3B","2025-08-13","120000","0.00000007","0.00000028","A sophisticated text-based Mixture-of-Experts (MoE) model featuring 21B total parameters with 3B activated per token, delivering exceptional multimodal understanding and generation through heterogeneo..."
"baidu/ernie-4.5-21b-a3b-thinking","Baidu: ERNIE 4.5 21B A3B Thinking","2025-10-10","131072","0.00000007","0.00000028","ERNIE-4.5-21B-A3B-Thinking is Baidu's upgraded lightweight MoE model, refined to boost reasoning depth and quality for top-tier performance in logical puzzles, math, science, coding, text generation, ..."
"baidu/ernie-4.5-300b-a47b","Baidu: ERNIE 4.5 300B A47B ","2025-07-01","123000","0.00000028","0.0000011","ERNIE-4.5-300B-A47B is a 300B parameter Mixture-of-Experts (MoE) language model developed by Baidu as part of the ERNIE 4.5 series. It activates 47B parameters per token and supports text generation i..."
"deepseek/deepseek-chat-v3-0324","DeepSeek: DeepSeek V3 0324","2025-03-24","163840","0.00000024","0.00000084","DeepSeek V3, a 685B-parameter, mixture-of-experts model, is the latest iteration of the flagship chat model family from the DeepSeek team.  It succeeds the [DeepSeek V3](/deepseek/deepseek-chat-v3) mo..."
"deepseek/deepseek-chat-v3-0324:free","DeepSeek: DeepSeek V3 0324 (free)","2025-03-24","163840","0","0","DeepSeek V3, a 685B-parameter, mixture-of-experts model, is the latest iteration of the flagship chat model family from the DeepSeek team.  It succeeds the [DeepSeek V3](/deepseek/deepseek-chat-v3) mo..."
"deepseek/deepseek-chat-v3.1","DeepSeek: DeepSeek V3.1","2025-08-21","163840","0.0000002","0.0000008","DeepSeek-V3.1 is a large hybrid reasoning model (671B parameters, 37B active) that supports both thinking and non-thinking modes via prompt templates. It extends the DeepSeek-V3 base with a two-phase ..."
"deepseek/deepseek-prover-v2","DeepSeek: DeepSeek Prover V2","2025-04-30","163840","0.0000005","0.00000218","DeepSeek Prover V2 is a 671B parameter model, speculated to be geared towards logic and mathematics. Likely an upgrade from [DeepSeek-Prover-V1.5](https://huggingface.co/deepseek-ai/DeepSeek-Prover-V1..."
"deepseek/deepseek-r1","DeepSeek: R1","2025-01-20","163840","0.0000003","0.0000012","DeepSeek R1 is here: Performance on par with [OpenAI o1](/openai/o1), but open-sourced and with fully open reasoning tokens. It's 671B parameters in size, with 37B active in an inference pass.  Fully ..."
